actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,return_mean
,mappo,,,,40.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.005186694208532572,mappo,0.00010952811862807721,0.7496405243873596,0.0009876958986328776,41.0,,,,,,,,,,,,,,0.0,,,,,0.012257374823093414,0.0
,mappo,,,,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.009162741713225842,mappo,3.194835517206229e-05,0.7364715337753296,0.0009873957985995331,42.0,,,,,,,,,,,,,,0.0,,,,,0.013508417643606663,0.0
,mappo,,,,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.011424785479903221,mappo,0.0001614404609426856,0.7243526577949524,0.0009870956985661887,43.0,,,,,,,,,,,,,,0.0,,,,,0.013180666603147984,0.0
,mappo,,,,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.013637727126479149,mappo,0.00014277057198341936,0.7129994630813599,0.0009867955985328443,44.0,,,,,,,,,,,,,,0.0,,,,,0.01329993549734354,0.0
,mappo,,,,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
0.0016534400638192892,mappo,0.00028750981437042356,0.7142733335494995,0.0009864954984995,45.0,,,,,,,,,,,,,,0.0,,,,,0.014131151139736176,0.0
,mappo,,,,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0025615247432142496,mappo,0.00012836011592298746,0.730390727519989,0.0009861953984661555,46.0,,,,,,,,,,,,,,0.0,,,,,0.014003224670886993,0.0
,mappo,,,,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0011161393485963345,mappo,0.00020045795827172697,0.7362970113754272,0.0009858952984328109,47.0,,,,,,,,,,,,,,0.0,,,,,0.014063429087400436,0.0
,mappo,,,,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
0.003073161467909813,mappo,7.916451431810856e-05,0.7391009330749512,0.0009855951983994665,48.0,,,,,,,,,,,,,,0.0,,,,,0.014881771057844162,0.0
,mappo,,,,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.006284278817474842,mappo,0.0001170638861367479,0.7438921928405762,0.000985295098366122,49.0,,,,,,,,,,,,,,0.0,,,,,0.014922015368938446,0.0
,mappo,,,,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0018413318321108818,mappo,5.757319740951061e-05,0.7468869090080261,0.0009849949983327777,50.0,,,,,,,,,,,,,,0.0,,,,,0.01464458554983139,0.0
,mappo,,,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.004550987388938665,mappo,9.51003676163964e-05,0.7576611638069153,0.0009846948982994333,51.0,,,,,,,,,,,,,,0.0,,,,,0.014853311702609062,0.0
,mappo,,,,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
